iTransCode|sExchSeg|sSymbol|siMarketType|lVolumeTradedToday|lLastTradedPrice|sNetChangeIndicator|lNetPriceChangeFromClosingPrice|lLastTradeQuantity|lLastTradeTime|lAverageTradePrice|lNoofTrades|siAuctionNumber|dTotalBuyQuantity|dTotalSellQuantity|dTotalTradevalue|lClosingPrice|lOpenPrice|lHighPrice|lLowPrice|lYearlyHighValue|lYearlyLowValue|lLowerCircuitLimit|lUpperCircuitLimit|sExchFeedTime|lSecondsSinceBoe|lUsecs|lOpenIntereset|mbpinfo.lQuantity 1|mbpinfo.lPrice 1|mbpinfo.siNumberOfOrders 1|mbpinfo.siBbBuySellFlag 1|mbpinfo.lQuantity 2|mbpinfo.lPrice 2|mbpinfo.siNumberOfOrders 2|mbpinfo.siBbBuySellFlag 2|mbpinfo.lQuantity 3|mbpinfo.lPrice 3|mbpinfo.siNumberOfOrders 3|mbpinfo.siBbBuySellFlag 3|mbpinfo.lQuantity 4|mbpinfo.lPrice 4|mbpinfo.siNumberOfOrders 4|mbpinfo.siBbBuySellFlag 4|mbpinfo.lQuantity 5|mbpinfo.lPrice 5|mbpinfo.siNumberOfOrders 5|mbpinfo.siBbBuySellFlag 5|mbpinfo.lQuantity 6|mbpinfo.lPrice 6|mbpinfo.siNumberOfOrders 6|mbpinfo.siBbBuySellFlag 6|mbpinfo.lQuantity 7|mbpinfo.lPrice 7|mbpinfo.siNumberOfOrders 7|mbpinfo.siBbBuySellFlag 7|mbpinfo.lQuantity 8|mbpinfo.lPrice 8|mbpinfo.siNumberOfOrders 8|mbpinfo.siBbBuySellFlag 8|mbpinfo.lQuantity 9|mbpinfo.lPrice 9|mbpinfo.siNumberOfOrders 9|mbpinfo.siBbBuySellFlag 9|mbpinfo.lQuantity 10|mbpinfo.lPrice 10|mbpinfo.siNumberOfOrders 10|mbpinfo.siBbBuySellFlag 10|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110200|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1110900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116300||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|18|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|43|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|2808|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|1117600|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110100|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1110800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117200|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|4|1117800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116300||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|8|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115100|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115300|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|1117300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1117600|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110000|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1110800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117100|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1117800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|53503|116325||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|31|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|39|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115125|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115300|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116440||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116290|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|116330|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|7|1117700|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110200|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1110900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116325||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|32|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116325||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|40|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116440||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|1|116290|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116330|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|3|1117400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|1117600|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110100|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1110800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117200|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|4|1117800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116325||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|20|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|2|1117400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1117600|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116440||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|116280|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116330|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116325||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|12|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116440||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116290|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116330|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|7|1117700|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110200|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1110900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116325||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|52|116300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|39|116325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117500||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|6|1117700|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|53578|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|15|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|59|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115750||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|13|115725|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115150|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115325|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|569|116330||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|1|116330|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|7|116359|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|2810|1117900||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|8|1118000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110300|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|1117400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|4|1118100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|53602|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|34|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115750||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|18|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|115800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115150|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115350|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116330||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|116330|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|116370|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117900||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|11|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|32|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117900||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|10|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|53603|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|37|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115750||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|10|115800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116330||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116330|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|6|116370|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117900||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|53608|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|168|116325|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|32|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115750||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|13|115725|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|115800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116330||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|2|116320|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|116370|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|2811|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|1111000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|159|116325|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115750||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|10|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|10|115800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116330||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|116330|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|6|116370|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|15|1111100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|53609|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|173|116325|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|35|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
